container_index,title,text,image_url,all_images,status,link,all_links,advertiser,is_promoted,time_period
871,Learn how the Royal Navy transformed its procurement processes.,Promoted,No image found,[],Active,/ad-library/detail/687230856?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/687230856?trk=ad_library_ad_preview_content_image', '/ad-library/detail/687230856', '/ad-library/detail/687230856']",Apple,True,last-30-days
872,No title found,Microsoft,No image found,[],Active,No link found,[],Apple,,last-30-days
873,Learn how the Royal Navy transformed its procurement processes.,Discover how the Royal Navy transformed its procurement processes with Microsoft Power Platform.,No image found,[],Active,No link found,[],Apple,,last-30-days
874,Discover how the Royal Navy transformed its procurement processes with Microsoft Power Platform.,Discover how the Royal Navy transformed its procurement processes with Microsoft Power Platform.,No image found,[],Active,No link found,[],Apple,,last-30-days
875,Cyberresilienz im Überblick,Promoted,No image found,[],Active,/ad-library/detail/661066814?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/661066814?trk=ad_library_ad_preview_content_image', '/ad-library/detail/661066814', '/ad-library/detail/661066814']",Apple,True,last-30-days
876,Cyberresilienz im Überblick,Promoted,No image found,[],Active,/ad-library/detail/661066814?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/661066814?trk=ad_library_ad_preview_content_image', '/ad-library/detail/661066814', '/ad-library/detail/661066814']",Apple,True,last-30-days
877,No title found,Microsoft,No image found,[],Active,No link found,[],Apple,,last-30-days
878,Cyberresilienz im Überblick,Cyberresilienz im Überblick,No image found,[],Active,No link found,[],Apple,,last-30-days
880,Explore how Rolls-Royce transformed its future with micro-innovations.,Promoted,https://media.licdn.com/dms/image/v2/D560BAQH32RJQCl3dDQ/company-logo_100_100/B56ZYQ0mrGGoAU-/0/1744038948046/microsoft_logo?e=2147483647&v=beta&t=rr_7_bFRKp6umQxIHErPOZHtR8dMPIYeTjlKFdotJBY,"['https://media.licdn.com/dms/image/v2/D560BAQH32RJQCl3dDQ/company-logo_100_100/B56ZYQ0mrGGoAU-/0/1744038948046/microsoft_logo?e=2147483647&v=beta&t=rr_7_bFRKp6umQxIHErPOZHtR8dMPIYeTjlKFdotJBY', 'https://media.licdn.com/dms/image/v2/D4E10AQHFC2yaVMak9g/image-shrink_1280/B4EZaKtijnHkAM-/0/1746083916518?e=2147483647&v=beta&t=3xxvGjQ2clv4jFKnuIxg_nb4A5S4TvDG2M2fJY2zd-c']",Active,/ad-library/detail/687221296?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/687221296?trk=ad_library_ad_preview_content_image', '/ad-library/detail/687221296', '/ad-library/detail/687221296']",Apple,True,last-30-days
881,No title found,Microsoft,No image found,[],Active,No link found,[],Apple,,last-30-days
882,Explore how Rolls-Royce transformed its future with micro-innovations.,Discover how Rolls-Royce transformed its future with Microsoft Power Platform.,No image found,[],Active,No link found,[],Apple,,last-30-days
883,Discover how Rolls-Royce transformed its future with Microsoft Power Platform.,Discover how Rolls-Royce transformed its future with Microsoft Power Platform.,No image found,[],Active,No link found,[],Apple,,last-30-days
884,Explore how Rolls-Royce transformed its future with micro-innovations.,Promoted,No image found,[],Active,/ad-library/detail/687231416?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/687231416?trk=ad_library_ad_preview_content_image', '/ad-library/detail/687231416', '/ad-library/detail/687231416']",Apple,True,last-30-days
885,Explore how Rolls-Royce transformed its future with micro-innovations.,Promoted,No image found,[],Active,/ad-library/detail/687231416?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/687231416?trk=ad_library_ad_preview_content_image', '/ad-library/detail/687231416', '/ad-library/detail/687231416']",Apple,True,last-30-days
886,No title found,Microsoft,No image found,[],Active,No link found,[],Apple,,last-30-days
887,Explore how Rolls-Royce transformed its future with micro-innovations.,Discover how Rolls-Royce transformed its future with Microsoft Power Platform.,No image found,[],Active,No link found,[],Apple,,last-30-days
888,Discover how Rolls-Royce transformed its future with Microsoft Power Platform.,Discover how Rolls-Royce transformed its future with Microsoft Power Platform.,No image found,[],Active,No link found,[],Apple,,last-30-days
889,Learn how the Royal Navy transformed its procurement processes.,Promoted,No image found,[],Active,/ad-library/detail/685175496?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/685175496?trk=ad_library_ad_preview_content_image', '/ad-library/detail/685175496', '/ad-library/detail/685175496']",Apple,True,last-30-days
