container_index,title,text,image_url,all_images,status,link,all_links,advertiser,is_promoted,time_period
550,Upgrade to iPhone.,Upgrade to iPhone.,No image found,[],Active,No link found,[],Apple,,all-time
551,Échangez et économisez.,Promoted,No image found,[],Active,/ad-library/detail/640487194?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/640487194?trk=ad_library_ad_preview_content_image', '/ad-library/detail/640487194', '/ad-library/detail/640487194']",Apple,True,all-time
552,Échangez et économisez.,Promoted,No image found,[],Active,/ad-library/detail/640487194?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/640487194?trk=ad_library_ad_preview_content_image', '/ad-library/detail/640487194', '/ad-library/detail/640487194']",Apple,True,all-time
553,No title found,Apple,No image found,[],Active,No link found,[],Apple,,all-time
554,Échangez et économisez.,Échangez et économisez.,No image found,[],Active,No link found,[],Apple,,all-time
555,Trade in and save.,Promoted,No image found,[],Active,/ad-library/detail/640525784?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/640525784?trk=ad_library_ad_preview_content_image', '/ad-library/detail/640525784', '/ad-library/detail/640525784']",Apple,True,all-time
556,Trade in and save.,Promoted,No image found,[],Active,/ad-library/detail/640525784?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/640525784?trk=ad_library_ad_preview_content_image', '/ad-library/detail/640525784', '/ad-library/detail/640525784']",Apple,True,all-time
557,No title found,Apple,No image found,[],Active,No link found,[],Apple,,all-time
558,Trade in and save.,Trade in and save.,No image found,[],Active,No link found,[],Apple,,all-time
559,Shop and pay monthly on iPhone 16.,Promoted,https://media.licdn.com/dms/image/v2/C560BAQHdAaarsO-eyA/company-logo_100_100/company-logo_100_100/0/1630637844948/apple_logo?e=2147483647&v=beta&t=p0JNmv2WB0EMMQgvzl9R8TaXgzEaDraGS4MWR0IawjQ,"['https://media.licdn.com/dms/image/v2/C560BAQHdAaarsO-eyA/company-logo_100_100/company-logo_100_100/0/1630637844948/apple_logo?e=2147483647&v=beta&t=p0JNmv2WB0EMMQgvzl9R8TaXgzEaDraGS4MWR0IawjQ', 'https://media.licdn.com/dms/image/v2/D5610AQGYWojFAE_eag/videocover-high/B56ZYPzF6BH0CQ-/0/1744021777535/INEN_NILEVALLEY1_ANDIS_11AR_6s_HXVIFM_NCEMI_UPT_NA_NA_GSM_LINKIFmp4?e=2147483647&v=beta&t=_sejZbR7Hpay2lHuSkV3NsArHrGP45zd201tle4UQBY']",Active,/ad-library/detail/668352166,"['/ad-library/detail/668352166', '/ad-library/detail/668352166', '/ad-library/detail/668352166']",Apple,True,all-time
560,Shop and pay monthly on iPhone 16.,Promoted,https://media.licdn.com/dms/image/v2/C560BAQHdAaarsO-eyA/company-logo_100_100/company-logo_100_100/0/1630637844948/apple_logo?e=2147483647&v=beta&t=p0JNmv2WB0EMMQgvzl9R8TaXgzEaDraGS4MWR0IawjQ,"['https://media.licdn.com/dms/image/v2/C560BAQHdAaarsO-eyA/company-logo_100_100/company-logo_100_100/0/1630637844948/apple_logo?e=2147483647&v=beta&t=p0JNmv2WB0EMMQgvzl9R8TaXgzEaDraGS4MWR0IawjQ', 'https://media.licdn.com/dms/image/v2/D5610AQGYWojFAE_eag/videocover-high/B56ZYPzF6BH0CQ-/0/1744021777535/INEN_NILEVALLEY1_ANDIS_11AR_6s_HXVIFM_NCEMI_UPT_NA_NA_GSM_LINKIFmp4?e=2147483647&v=beta&t=_sejZbR7Hpay2lHuSkV3NsArHrGP45zd201tle4UQBY']",Active,/ad-library/detail/668352166,"['/ad-library/detail/668352166', '/ad-library/detail/668352166', '/ad-library/detail/668352166']",Apple,True,all-time
561,No title found,Apple,No image found,[],Active,No link found,[],Apple,,all-time
562,Shop and pay monthly on iPhone 16.,Shop and pay monthly on iPhone 16.,No image found,[],Active,No link found,[],Apple,,all-time
563,Upgrade to iPhone.,Promoted,https://media.licdn.com/dms/image/v2/C560BAQHdAaarsO-eyA/company-logo_100_100/company-logo_100_100/0/1630637844948/apple_logo?e=2147483647&v=beta&t=p0JNmv2WB0EMMQgvzl9R8TaXgzEaDraGS4MWR0IawjQ,"['https://media.licdn.com/dms/image/v2/C560BAQHdAaarsO-eyA/company-logo_100_100/company-logo_100_100/0/1630637844948/apple_logo?e=2147483647&v=beta&t=p0JNmv2WB0EMMQgvzl9R8TaXgzEaDraGS4MWR0IawjQ', 'https://media.licdn.com/dms/image/v2/D5610AQF6v19mP79VYw/image-shrink_1280/B56ZYmi1ftGUAQ-/0/1744403390071/USEN_LIBRAMOON3_STATIC_11AR_BAN_HXVI_SATCON_NA_UPGIPH_VERIZON_NA_LINKIFjpeg?e=2147483647&v=beta&t=p-4dGT5zV9exHcncK2LnfhRMjd7nhoyN886dO-9yHyo']",Active,/ad-library/detail/670712406?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/670712406?trk=ad_library_ad_preview_content_image', '/ad-library/detail/670712406', '/ad-library/detail/670712406']",Apple,True,all-time
564,Upgrade to iPhone.,Promoted,https://media.licdn.com/dms/image/v2/C560BAQHdAaarsO-eyA/company-logo_100_100/company-logo_100_100/0/1630637844948/apple_logo?e=2147483647&v=beta&t=p0JNmv2WB0EMMQgvzl9R8TaXgzEaDraGS4MWR0IawjQ,"['https://media.licdn.com/dms/image/v2/C560BAQHdAaarsO-eyA/company-logo_100_100/company-logo_100_100/0/1630637844948/apple_logo?e=2147483647&v=beta&t=p0JNmv2WB0EMMQgvzl9R8TaXgzEaDraGS4MWR0IawjQ', 'https://media.licdn.com/dms/image/v2/D5610AQF6v19mP79VYw/image-shrink_1280/B56ZYmi1ftGUAQ-/0/1744403390071/USEN_LIBRAMOON3_STATIC_11AR_BAN_HXVI_SATCON_NA_UPGIPH_VERIZON_NA_LINKIFjpeg?e=2147483647&v=beta&t=p-4dGT5zV9exHcncK2LnfhRMjd7nhoyN886dO-9yHyo']",Active,/ad-library/detail/670712406?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/670712406?trk=ad_library_ad_preview_content_image', '/ad-library/detail/670712406', '/ad-library/detail/670712406']",Apple,True,all-time
565,No title found,Apple,No image found,[],Active,No link found,[],Apple,,all-time
566,Upgrade to iPhone.,Upgrade to iPhone.,No image found,[],Active,No link found,[],Apple,,all-time
567,Trade in and save.,Promoted,https://media.licdn.com/dms/image/v2/C560BAQHdAaarsO-eyA/company-logo_100_100/company-logo_100_100/0/1630637844948/apple_logo?e=2147483647&v=beta&t=p0JNmv2WB0EMMQgvzl9R8TaXgzEaDraGS4MWR0IawjQ,"['https://media.licdn.com/dms/image/v2/C560BAQHdAaarsO-eyA/company-logo_100_100/company-logo_100_100/0/1630637844948/apple_logo?e=2147483647&v=beta&t=p0JNmv2WB0EMMQgvzl9R8TaXgzEaDraGS4MWR0IawjQ', 'https://media.licdn.com/dms/image/v2/D4E10AQFW8hnGgmBJEQ/image-shrink_1280/B4EZX3UGirHUAU-/0/1743610998053/CAEN_BARSIGN2_STATIC_11AR_BAN_MACAIR_TRDN_FRNGE_NA_NA_NA_LINKIF_AMXD0262490jpg?e=2147483647&v=beta&t=vhfYHrHSyWqdVRfU2jAhdrqNgjnJyzNy0UXHoAntG_8']",Active,/ad-library/detail/640506224?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/640506224?trk=ad_library_ad_preview_content_image', '/ad-library/detail/640506224', '/ad-library/detail/640506224']",Apple,True,all-time
568,Trade in and save.,Promoted,https://media.licdn.com/dms/image/v2/C560BAQHdAaarsO-eyA/company-logo_100_100/company-logo_100_100/0/1630637844948/apple_logo?e=2147483647&v=beta&t=p0JNmv2WB0EMMQgvzl9R8TaXgzEaDraGS4MWR0IawjQ,"['https://media.licdn.com/dms/image/v2/C560BAQHdAaarsO-eyA/company-logo_100_100/company-logo_100_100/0/1630637844948/apple_logo?e=2147483647&v=beta&t=p0JNmv2WB0EMMQgvzl9R8TaXgzEaDraGS4MWR0IawjQ', 'https://media.licdn.com/dms/image/v2/D4E10AQFW8hnGgmBJEQ/image-shrink_1280/B4EZX3UGirHUAU-/0/1743610998053/CAEN_BARSIGN2_STATIC_11AR_BAN_MACAIR_TRDN_FRNGE_NA_NA_NA_LINKIF_AMXD0262490jpg?e=2147483647&v=beta&t=vhfYHrHSyWqdVRfU2jAhdrqNgjnJyzNy0UXHoAntG_8']",Active,/ad-library/detail/640506224?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/640506224?trk=ad_library_ad_preview_content_image', '/ad-library/detail/640506224', '/ad-library/detail/640506224']",Apple,True,all-time
569,No title found,Apple,No image found,[],Active,No link found,[],Apple,,all-time
570,Trade in and save.,Trade in and save.,No image found,[],Active,No link found,[],Apple,,all-time
571,No title found,No text found,No image found,[],Active,No link found,[],Apple,,all-time
572,No title found,No text found,No image found,[],Active,No link found,[],Apple,,all-time
